"DT_GERACAO";"HH_GERACAO";"CD_UF_TSE";"CD_UF_IBGE";"SG_UF";"NM_UF";"CD_MUNICIPIO_TSE";"NM_MUNICIPIO_TSE";"CD_MUNICIPIO_IBGE";"NM_MUNICIPIO_IBGE"
"31/05/2026";"09:00:10";24;12;"AC";"Acre";"1007";"Bujari";1200138;"Bujari"
"31/05/2026";"09:00:10";24;12;"AC";"Acre";"1015";"Capixaba";1200179;"Capixaba"
"31/05/2026";"09:00:10";24;12;"AC";"Acre";"1023";"Porto Acre";1200807;"Porto Acre"
"31/05/2026";"09:00:10";24;12;"AC";"Acre";"1031";"Santa Rosa Do Purus";1200435;"Santa Rosa Do Purus"
"31/05/2026";"09:00:10";24;12;"AC";"Acre";"1040";"Marechal Thaumaturgo";1200351;"Marechal Thaumaturgo"
"31/05/2026";"09:00:10";24;12;"AC";"Acre";"1058";"Brasiléia";1200104;"Brasiléia"
"31/05/2026";"09:00:10";24;12;"AC";"Acre";"1066";"Porto Walter";1200393;"Porto Walter"
"31/05/2026";"09:00:10";24;12;"AC";"Acre";"1074";"Cruzeiro Do Sul";1200203;"Cruzeiro Do Sul"
"31/05/2026";"09:00:10";24;12;"AC";"Acre";"1082";"Rodrigues Alves";1200427;"Rodrigues Alves"
"31/05/2026";"09:00:10";24;12;"AC";"Acre";"1090";"Mâncio Lima";1200336;"Mâncio Lima"
"31/05/2026";"09:00:10";24;12;"AC";"Acre";"1104";"Jordão";1200328;"Jordão"
"31/05/2026";"09:00:10";24;12;"AC";"Acre";"1112";"Epitaciolândia";1200252;"Epitaciolândia"
"31/05/2026";"09:00:10";24;12;"AC";"Acre";"1120";"Acrelândia";1200013;"Acrelândia"
"31/05/2026";"09:00:10";24;12;"AC";"Acre";"1139";"Feijó";1200302;"Feijó"
"31/05/2026";"09:00:10";24;12;"AC";"Acre";"1392";"Rio Branco";1200401;"Rio Branco"
"31/05/2026";"09:00:10";24;12;"AC";"Acre";"1457";"Sena Madureira";1200500;"Sena Madureira"
"31/05/2026";"09:00:10";24;12;"AC";"Acre";"1473";"Tarauacá";1200609;"Tarauacá"
"31/05/2026";"09:00:10";24;12;"AC";"Acre";"1490";"Xapuri";1200708;"Xapuri"
"31/05/2026";"09:00:10";24;12;"AC";"Acre";"1511";"Plácido De Castro";1200385;"Plácido De Castro"
"31/05/2026";"09:00:10";24;12;"AC";"Acre";"1538";"Senador Guiomard";1200450;"Senador Guiomard"
"31/05/2026";"09:00:10";24;12;"AC";"Acre";"1554";"Manoel Urbano";1200344;"Manoel Urbano"
"31/05/2026";"09:00:10";24;12;"AC";"Acre";"1570";"Assis Brasil";1200054;"Assis Brasil"
"31/05/2026";"09:00:10";17;27;"AL";"Alagoas";"27006";"Paripueira";2706448;"Paripueira"
"31/05/2026";"09:00:10";17;27;"AL";"Alagoas";"27014";"Água Branca";2700102;"Água Branca"
"31/05/2026";"09:00:10";17;27;"AL";"Alagoas";"27022";"Pariconha";2706422;"Pariconha"
"31/05/2026";"09:00:10";17;27;"AL";"Alagoas";"27030";"Anadia";2700201;"Anadia"
"31/05/2026";"09:00:10";17;27;"AL";"Alagoas";"27049";"Estrela De Alagoas";2702553;"Estrela De Alagoas"
"31/05/2026";"09:00:10";17;27;"AL";"Alagoas";"27057";"Arapiraca";2700300;"Arapiraca"
"31/05/2026";"09:00:10";17;27;"AL";"Alagoas";"27065";"Jequiá Da Praia";2703759;"Jequiá Da Praia"
"31/05/2026";"09:00:10";17;27;"AL";"Alagoas";"27073";"Atalaia";2700409;"Atalaia"
"31/05/2026";"09:00:10";17;27;"AL";"Alagoas";"27081";"Campestre";2701357;"Campestre"
"31/05/2026";"09:00:10";17;27;"AL";"Alagoas";"27090";"Barra De Santo Antônio";2700508;"Barra De Santo Antônio"
"31/05/2026";"09:00:10";17;27;"AL";"Alagoas";"27111";"Barra De São Miguel";2700607;"Barra De São Miguel"
"31/05/2026";"09:00:10";17;27;"AL";"Alagoas";"27138";"Batalha";2700706;"Batalha"
"31/05/2026";"09:00:10";17;27;"AL";"Alagoas";"27154";"Belém";2700805;"Belém"
"31/05/2026";"09:00:10";17;27;"AL";"Alagoas";"27170";"Belo Monte";2700904;"Belo Monte"
"31/05/2026";"09:00:10";17;27;"AL";"Alagoas";"27197";"Boca Da Mata";2701001;"Boca Da Mata"
"31/05/2026";"09:00:10";17;27;"AL";"Alagoas";"27219";"Branquinha";2701100;"Branquinha"
"31/05/2026";"09:00:10";17;27;"AL";"Alagoas";"27235";"Cacimbinhas";2701209;"Cacimbinhas"
"31/05/2026";"09:00:10";17;27;"AL";"Alagoas";"27251";"Cajueiro";2701308;"Cajueiro"
"31/05/2026";"09:00:10";17;27;"AL";"Alagoas";"27278";"Campo Alegre";2701407;"Campo Alegre"
"31/05/2026";"09:00:10";17;27;"AL";"Alagoas";"27294";"Campo Grande";2701506;"Campo Grande"
"31/05/2026";"09:00:10";17;27;"AL";"Alagoas";"27316";"Canapi";2701605;"Canapi"
"31/05/2026";"09:00:10";17;27;"AL";"Alagoas";"27332";"Capela";2701704;"Capela"
"31/05/2026";"09:00:10";17;27;"AL";"Alagoas";"27359";"Carneiros";2701803;"Carneiros"
"31/05/2026";"09:00:10";17;27;"AL";"Alagoas";"27375";"Chã Preta";2701902;"Chã Preta"
"31/05/2026";"09:00:10";17;27;"AL";"Alagoas";"27391";"Coité Do Nóia";2702009;"Coité Do Nóia"
"31/05/2026";"09:00:10";17;27;"AL";"Alagoas";"27413";"Colônia Leopoldina";2702108;"Colônia Leopoldina"
"31/05/2026";"09:00:10";17;27;"AL";"Alagoas";"27430";"Coqueiro Seco";2702207;"Coqueiro Seco"
"31/05/2026";"09:00:10";17;27;"AL";"Alagoas";"27456";"Coruripe";2702306;"Coruripe"
"31/05/2026";"09:00:10";17;27;"AL";"Alagoas";"27472";"Delmiro Gouveia";2702405;"Delmiro Gouveia"
"31/05/2026";"09:00:10";17;27;"AL";"Alagoas";"27499";"Dois Riachos";2702504;"Dois Riachos"
"31/05/2026";"09:00:10";17;27;"AL";"Alagoas";"27510";"Feira Grande";2702603;"Feira Grande"
"31/05/2026";"09:00:10";17;27;"AL";"Alagoas";"27537";"Feliz Deserto";2702702;"Feliz Deserto"
"31/05/2026";"09:00:10";17;27;"AL";"Alagoas";"27553";"Flexeiras";2702801;"Flexeiras"
"31/05/2026";"09:00:10";17;27;"AL";"Alagoas";"27570";"Girau Do Ponciano";2702900;"Girau Do Ponciano"
"31/05/2026";"09:00:10";17;27;"AL";"Alagoas";"27596";"Ibateguara";2703007;"Ibateguara"
"31/05/2026";"09:00:10";17;27;"AL";"Alagoas";"27618";"Igaci";2703106;"Igaci"
"31/05/2026";"09:00:10";17;27;"AL";"Alagoas";"27634";"Igreja Nova";2703205;"Igreja Nova"
"31/05/2026";"09:00:10";17;27;"AL";"Alagoas";"27650";"Inhapi";2703304;"Inhapi"
"31/05/2026";"09:00:10";17;27;"AL";"Alagoas";"27677";"Jacaré Dos Homens";2703403;"Jacaré Dos Homens"
"31/05/2026";"09:00:10";17;27;"AL";"Alagoas";"27693";"Jacuípe";2703502;"Jacuípe"
"31/05/2026";"09:00:10";17;27;"AL";"Alagoas";"27715";"Japaratinga";2703601;"Japaratinga"
"31/05/2026";"09:00:10";17;27;"AL";"Alagoas";"27731";"Jaramataia";2703700;"Jaramataia"
"31/05/2026";"09:00:10";17;27;"AL";"Alagoas";"27758";"Joaquim Gomes";2703809;"Joaquim Gomes"
"31/05/2026";"09:00:10";17;27;"AL";"Alagoas";"27774";"Jundiá";2703908;"Jundiá"
"31/05/2026";"09:00:10";17;27;"AL";"Alagoas";"27790";"Junqueiro";2704005;"Junqueiro"
"31/05/2026";"09:00:10";17;27;"AL";"Alagoas";"27812";"Lagoa Da Canoa";2704104;"Lagoa Da Canoa"
"31/05/2026";"09:00:10";17;27;"AL";"Alagoas";"27839";"Limoeiro De Anadia";2704203;"Limoeiro De Anadia"
"31/05/2026";"09:00:10";17;27;"AL";"Alagoas";"27855";"Maceió";2704302;"Maceió"
"31/05/2026";"09:00:10";17;27;"AL";"Alagoas";"27871";"Major Isidoro";2704401;"Major Isidoro"
"31/05/2026";"09:00:10";17;27;"AL";"Alagoas";"27898";"Maragogi";2704500;"Maragogi"
"31/05/2026";"09:00:10";17;27;"AL";"Alagoas";"27910";"Maravilha";2704609;"Maravilha"
"31/05/2026";"09:00:10";17;27;"AL";"Alagoas";"27936";"Marechal Deodoro";2704708;"Marechal Deodoro"
"31/05/2026";"09:00:10";17;27;"AL";"Alagoas";"27952";"Maribondo";2704807;"Maribondo"
"31/05/2026";"09:00:10";17;27;"AL";"Alagoas";"27979";"Mar Vermelho";2704906;"Mar Vermelho"
"31/05/2026";"09:00:10";17;27;"AL";"Alagoas";"27995";"Mata Grande";2705002;"Mata Grande"
"31/05/2026";"09:00:10";17;27;"AL";"Alagoas";"28010";"Matriz De Camaragibe";2705101;"Matriz De Camaragibe"
"31/05/2026";"09:00:10";17;27;"AL";"Alagoas";"28037";"Messias";2705200;"Messias"
"31/05/2026";"09:00:10";17;27;"AL";"Alagoas";"28053";"Minador Do Negrão";2705309;"Minador Do Negrão"
"31/05/2026";"09:00:10";17;27;"AL";"Alagoas";"28070";"Monteirópolis";2705408;"Monteirópolis"
"31/05/2026";"09:00:10";17;27;"AL";"Alagoas";"28096";"Murici";2705507;"Murici"
"31/05/2026";"09:00:10";17;27;"AL";"Alagoas";"28118";"Novo Lino";2705606;"Novo Lino"
"31/05/2026";"09:00:10";17;27;"AL";"Alagoas";"28134";"Olho D'Água Das Flores";2705705;"Olho D'Água Das Flores"
"31/05/2026";"09:00:10";17;27;"AL";"Alagoas";"28150";"Olho D'Água Do Casado";2705804;"Olho D'Água Do Casado"
"31/05/2026";"09:00:10";17;27;"AL";"Alagoas";"28177";"Olho D'Água Grande";2705903;"Olho D'Água Grande"
"31/05/2026";"09:00:10";17;27;"AL";"Alagoas";"28193";"Olivença";2706000;"Olivença"
"31/05/2026";"09:00:10";17;27;"AL";"Alagoas";"28215";"Ouro Branco";2706109;"Ouro Branco"
